id,product,issue,narrative,state,date
9874861,Checking or savings account,Managing an account,"On Sunday XX/XX/year> around XXXX I attempted to withdraw {$900.00} from an ATM located inside the XXXX XXXX XXXX located at XXXX XXXX XXXX XXXX XXXX XXXX XXXX NV XXXX. The ATM notified me there would be a {$9.00} fee for the transaction bringing the total amount to {$900.00}. I accepted the {$9.00} fee and proceeded with the transaction. The ATM then showed an error message and failed to dispense any receipt. The ATM did not dispense any cash and I walked away empty handed. When I checked my bank account I saw the {$900.00} charge as pending onto my checking account. 

The following day on Monday XX/XX/year> the pending charge of {$900.00} posted to my account. Once I saw the charge had posted to my account I called the claims office at Chase Bank. They opened a dispute claim for me and temporarily refunded the {$900.00} to my account while they investigated. Also on Monday XX/XX/year> I called XXXX XXXX Security to see if I could obtain any footage of myself at the ATM. They told me the footage was good for two weeks but since I had already submitted a claim with Chase and they were investigating, I didnt pursue the surveillance video any further. 

Fast forward to Tuesday XX/XX/year> when I got a Chase mobile app notification that my account had been overdrafted. When I checked my account the overdraft occurred because Chase claims posted a claim reversal and the {$900.00} went back onto my checking account. 

I then called Chase Claims on Tuesday XX/XX/year> and they had informed me their investigation finished and the ATM company claims the funds were released to me. Chase claims instructed me to file a police report. After getting off the phone with Chase claims I called XXXX XXXX security again to see if its somehow possible for me to obtain the surveillance video but was told they could not give me any information since I was not the police. 

On Tuesday XX/XX/year> I went down to the XXXX XXXX XXXX center in XXXX XXXX, NV and filed a police report with XXXX XXXX. After filing the report I was instructed by XXXX XXXX to call the financial crimes division. Once I got home on Tuesday XX/XX/year>, I called the financial crimes division and left a voicemail since they didnt answer. 

On Wednesday XX/XX/year> I called financial crimes again and left a message. I also emailed financial crimes. I got an email response from them later that day and after some back and forth conversation of explaining my story, the financial crimes division of the XXXX XXXX XXXX police says what happened to me is not a crime. 

Now I am stuck and dont know where to go from here. I just want my money back.",NV,2024-08-21
9656572,Checking or savings account,Managing an account,"Last XXXX I mailed XXXX checks to my business supplier in XXXX, California from XXXX, CA. Somewhere, while in the possession of the US Mail, my checks disappeared. One of those 2 checks went through my corporate business bank account twice on XXXX XXXX, XXXX, in the same exact amount of {$4800.00} but with a different name in the Pay To The Order Of area. It was then that I realized we were a victim of check fraud totaling {$9700.00}. Chase is the bank that cashed those checks on the same day. It was done by check washing and mobile deposits. I filled out the affidavits requested by the cashing bank and gave all supporting documents necessary. It has been 10 months since I filed a fraud report with the assistance of my bank and we still have not received our money back. My banker is telling me that they keep contacting Chase Bank and that they are not responding properly.",CA,2024-07-30
11771473,"Money transfer, virtual currency, or money service",Other transaction problem,I was to formally express my concern regarding XXXX handling disputes. Particularly in light of recent CFPB lawsuits highlighting significant issues with the platform dispute using XXXX numerous times n reporting discrepancies my financial institution n XXXX failed to investigate my claim,TX,2025-01-23
14685579,"Money transfer, virtual currency, or money service",Fraud or scam,"Fraudulent Wire Transfer Failure of Identity Verification by Chase Bank Details of the Transaction : On XX/XX/XXXX, I wired {$15000.00} for the purchase of a XXXX XXXX XXXX XXXX XXXX XXXX to the following account under the name XXXX XXXX CA XXXX : Bank Name : Chase Bank Branch Address : XXXX XXXX XXXX, XXXX XXXX, CA XXXX Routing Number : XXXX Account Number : XXXX Complaint : I am filing this complaint to report that Chase Bank allowed a scammer to open and operate a fraudulent account without properly verifying the individuals identity or confirming the legitimacy of the entity involved. 

The account in question appears to have been opened using false or stolen information, and it is now evident that the individual or entity behind it was operating a scam. Chase Bank failed to perform the due diligence required under federal Know Your Customer ( KYC ) and Anti-Money Laundering ( AML ) regulations, which are designed to prevent exactly this type of fraudulent activity. 

As a direct result of Chases failure to adhere to proper identity verification protocols, I suffered a financial loss of $ XXXXmoney I worked hard to earn and believed I was using for a legitimate purchase. 

I am requesting that this matter be thoroughly investigated and that Chase Bank be held accountable for allowing a fraudulent account to be opened and used to scam unsuspecting individuals like myself. I am also requesting that Chase take full financial responsibility for this loss and reimburse me for the funds that were stolen due to their failure in safeguarding the banking process. 

Please let me know if additional documentation or evidence is required to support this complaint. I am willing to fully cooperate in any investigation. 

Thank you for your time and attention to this serious matter.",CA,2025-07-16
18391282,Credit card,Problem with a purchase shown on your statement,"Scam type : Credit Card Charity-based scam Financial loss : {$5000.00} Crime involved : Unauthorized use of my phone, Credit card scam ( unauthorized charge processed ), Deceptive practice ( suspect misrepresented the amount ) Outcome from Chase Bank XXXX Dispute declined twice without the ability to prove I authorized {$5000.00} I am a victim of a charity-based credit card scam that occurred in XXXX around XXXX. I was approached by 3 individuals ( 2 men and 1 woman ) asking for a donation to support their daughter 's funeral. They provided prints about the incident and claimed that cash donation is not allowed. I donated {$20.00} through tap-and-pay and wrote my name on a sheet pledging my donation. Upon checking my bank account shortly after, I realized they had fraudulently taken {$5000.00}. 
During the process, one of the individuals had UNauthorized use of my phone, which has led to this transaction. The Bank failed to provide adequate safety measures to detect fraud patterns or warn me. Since the scam, I have filed a police report and contacted Chase 3 times to resolve the charge. 

Based on Newsoutlet research, this incident matches a documented pattern of credit card scams occurring throughout XXXX, where scammers approach people requesting small donations ( $ XXXX {$20.00} ) but then fraudulently charge thousands of dollars ( see attachments ) XXXX. ) XXXX XX/XX/year>, I reported fraud to Chase, including a text message stating my agreed {$20.00} charge. 

XXXX. ) XXXX XX/XX/year>, Chase confirmed to investigate my claim. 

XXXX. ) XXXX XX/XX/year>, Chase declined the fraud claim ; thus, I resubmitted under dispute and requested Chase Bank. 

XXXX. ) Result : On XXXX XX/XX/year>, Chase declined my dispute, claiming the charge was valid using the scammer 's message as proof. This is incorrect ; I did not approve the specific payment of {$5000.00}. This was theft by deception and credit card fraud. Chase did not do their due diligence to support their customer, me. 

XXXX. ) XXXX XX/XX/year>, I submitted an appeal with additional proofs ( news articles ) of the scam and flagged that Chase did not do a proper investigation with their longtime customer in mind, but took the scammer 's side. In addition, I requested that Chase review my spending history across accounts to demonstrate that there has been no pattern of high-value donations or purchases, which further highlights Chase 's lack of security measures to protect their customers ' credit card transactions. 

XXXX. ) Result : On XXXX XX/XX/year>, Chase rejected my dispute appeal without performing a full and thorough investigation. They did not provide any substantial proof to support their decision.",IL,2025-12-31
14863277,"Money transfer, virtual currency, or money service",Fraud or scam,"On XX/XX/year>, I submitted a dispute to Chase Bank for a {$2000.00} XXXX payment that I sent under fraudulent circumstances. The dispute was closed the same day I submitted it, without investigation or refund. 

I was told by Chase that they do not have recovery rights and was referred to XXXX. However, XXXX does not handle customer disputes only the sending bank has the authority to investigate or recover XXXX transactions. 

I believe Chase failed to properly investigate or escalate the issue, and I am requesting a full review. I also want Chase to submit a recovery request to the receiving bank to attempt to retrieve the funds. 

I am requesting a full refund The reference number for the claim is # XXXX.",CO,2025-07-24
15314059,Checking or savings account,Managing an account,"I was contacted by what I thought was the FBI and received an email from them that XXXX XXXX was being investigated and to pull my money and deposit the cash in a safe lock feature deposit account at Chase. I never received the deposit information so i contacted the police case # XXXX and went to Chase the next morning with the police report, FBI letter and deposit slips. They would not help me since I am not a client and I kept saying you have my {$11000.00} cash XXXX XXXX XXXX XXXX XXXX XXXX XXXX FBI XXXX",FL,2025-08-15
14203479,Checking or savings account,Managing an account,"Hello. I wanted to withdraw money from a Chase Bank ATM. I have a XXXX XXXX  I work full-time, which my work is credited to. When I made a transaction, the ATM did not give me the money. The XXXXXXXX XXXX was charged. Chase Bank also took the service fee. I have been asking for my money back for almost 10 days and they are not returning it. They are telling me some meaningless reasons and no one has helped me. They did not even meet the manager. They did not even check the record. They did not even check the ATM. It is about {$1000.00}. I do not know who to contact. I also have a check where it is written that the ATM did not give the money at that time. An acquaintance told me about you and now I am here, and I turned to you for help.",NY,2025-06-20
12300011,Credit card,"Advertising and marketing, including promotional offers","Chase Sapphire XXXX XXXX provides an annual {$50.00} statement credit annually for hotels purchased through Chase XXXX. The following travel was booked with Chase XXXX and Chase has not posted any credit as outlined in the cardmember services agreement to the customers account. 

The following hotel stays were purchased through Chase XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX I've called Chase dozens of times, opened cases to resolve, and only received a non-sensical form letter that did not address the issue months later, and, was even promised that the credit was verified & was being processed, and the credit never posted. Any attempt to escalate to a knowledgeable, engaged representative was met with a proposal only to open yet another case # to resolve. I have closed out the account given the lack of credibility from the customer service department and their inability to meet the advertised card benefits on the Chase Sapphire XXXX card. I am asking Chase Sapphire cardmember services to reimbursement a total {$100.00} which has been overdue for years.",OR,2025-03-03
17264583,Credit card,Improper use of your report,"Advertised "" no impact to credit score '' yet still pulled credit report. Aka Hard Inquiry.",CA,2025-11-14
14077465,Debt collection,Written notification about debt,"In XX/XX/year>, I voluntarily surrendered my vehicle to the lender after experiencing unexpected financial hardship due to unforeseen personal and financial hardships. At the time, I proactively contacted the lender to explain my situation and explore options. When no reasonable alternatives were offered, I made the difficult decision to return the vehicle voluntarily, rather than allowing it to be forcibly repossessed. 

I am requesting that this negative item be removed from my credit report under the Fair Credit Reporting Act ( FCRA ), Section 611, which mandates that all information on a credit report must be accurate, complete, and verifiable. While the account itself is not in dispute, I believe that the continued reporting of this derogatory mark does not reflect the full context specifically that the vehicle was voluntarily surrendered, not forcibly repossessed. This key distinction is often not clearly communicated in credit reporting, which may result in unfair damage to a consumers profile.

Additionally, under FCRA Section 602 ( A ), consumers are entitled to fair and equitable treatment. I cooperated fully with the lender and acted in good faith. Since the incident, I have made consistent efforts to improve my financial health and maintain a positive credit history.

I respectfully request that, in light of my voluntary surrender, the lender considers a goodwill deletion of this negative remark from my credit report. This account does not reflect my current financial behavior and is severely impacting my access to fair credit and opportunities. I ask that it be removed or updated to reflect the voluntary nature of the surrender, effective immediately.",TX,2025-06-15
11835410,Credit reporting or other personal consumer reports,Improper use of your report,my personal information has been jeopardized I didn't give permission to run my credit,WA,2025-01-29
11740916,Credit card,Problem with a purchase shown on your statement,"XX/XX/year>2024 I booked my travel through Chase XXXX for the first time to stay at the XXXX XXXX XXXX XXXX, for 3 nights for XXXX guests for {$1600.00}. The only address provided is "" XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX, CA, XXXX, XXXX. '' Only purchase confirmation was sent to the email stating we purchased the stay. 

XX/XX/year>2024 Only got email reminding of the date the trip would be. I wanted to contact the hotel but there was no phone number to contact in the purchase email sent on XX/XX/year>2024. 

XX/XX/year>2024 Got to CA, and picked up the rental vehicle around XXXX. Wedding rehearsal is in 4 hours. Drove to the intersect of XXXX XXXX XXXX XXXX XXXX XXXX XXXX from the only address found on the email and purchased site from Chase XXXX in hopes of finding the stay nearby so everyone can change for the wedding rehearsal. Driving there took about an hour, then we got out at the only Inn in the area. Security guard told us we were in the wrong place since this inn is a temporary shelter. After talking with group we decided to rush to the rehearsal and figure out our stay along the way. Rehearsal took place at XXXX XXXX XXXX XXXX so we asked if there were open rooms. The father of the bride, we're from the groom, paid for the first night stay there, said to be around {$600.00}, then a member of our group paid for the rest of the stay at the XXXX, said to be {$970.00}. After rehearsal, everyone gathered for brunch, and after brunch I was able to slip away to call Chase about the hotel situation. They said they would look into it and they will either call me in at 3 days, but if they don't then we should contact them for an update. My fiance and I are part of the event so we barely had time to contact chase or look for the hotel further. 

XX/XX/year> We board the plane and get to XXXX, drove 4 hours to get home in XXXX. 

XX/XX/year> Monday, I had to get back to work and was not free to address the Hotel issues. 

XX/XX/year> After getting home from work I made a phone to Chase for an update and they said they weren't able to contact the hotel, and the refund is still being worked on. 

XX/XX/year> Called Chase XXXX XXXX again after work. The first time I was told that the hotel denied my refund request, even though I couldn't find nor contact it and never used their service. But this told me that Chase XXXX now have their contact. I also mentioned on the phone how we were told by a Chase XXXX XXXX customer service that the hotel claimed they sent me an email detailing how to get there, and other critical information regarding my stay. But I never got that email. 

XX/XX/year> Called Chase XXXX XXXX again after work. Agent said the hotel refuses to give a refund, and chase themselves will not be issuing me a refund, instead they want to offer me XXXX courtesy points, which is equivalent to {$150.00} if I would to convert it to currency through the Chase travel rewards system. I refused to accept the points as it felt like a bribe. They took {$1600.00} from my bank account and wants to pay me back only {$150.00}, that is frustrating to hear. And from this point I had no more patience. 

XX/XX/year> Calling again for any update, dreading that the answer hasn't change. And it hasn't changed. 

The amount of time and stress I spent over this issue of booking the hotel through my Chase Sapphire XXXX card, and trying to find the time to contact customer service after was extremely exhausting. With each phone call I was losing patience because nothing was getting done. I feel like I was scammed and Chase is not protecting me even though I never used the hotel 's service, I couldn't contact nor find them! That is why I had to record every conversation I had with Chase for my protection.",TX,2025-01-25
13961004,Checking or savings account,Managing an account,"To Whom It May Concern, I am submitting this complaint regarding Chase Bank, where I opened my first checking account less than a year ago. I chose Chase because of its strong reputation for customer service, account protection, and convenience. Unfortunately, my experience has been extremely disappointing due to a series of unauthorized transactions and Chases failure to detect, prevent, or appropriately resolve them. 

On XX/XX/XXXX, I received a text from Chase asking whether I had authorized a transaction. I had not. I followed the instructions and called the number provided, but was immediately asked for sensitive account information. I hesitated, given how common scams involving text messages have become. Since it was XXXX XXXX and Chase branches were closed, I called the number on the back of my debit card. I spent hours being transferred between departments. No representative took ownership of my case or provided a clear resolution. 

Eventually, I was told that my account had been used for a series of unauthorized transactions over the course of several weeks. I had received no prior alerts or warnings. It was only on XX/XX/XXXX that I was finally notified. I also learned that a checkbook had been ordered from my account and mailed to an entirely different name and address. The name used was XXXX XXXX, and the checkbook was sent to Texas ( XXXX XXXX XXXX XXXX, TX ). I live in New York, and the name and address had no connection to me. I do not understand how Chase allowed a checkbook to be sent to an unverified individual in a different state without first contacting me. 

The transactions were made under variations of the same name, including XXXX, XXXX, and XXXX. These occurred on at least XXXX separate dates, and some of them were declined. This pattern should have triggered Chases fraud detection system. Still, I was not alerted until the most recent attempt. 

On XX/XX/XXXX, I reported the fraud and received a refund for the unauthorized checkbook order. I also filed claims to recover the funds from the fraudulent transactions. While Chase did approve and reimburse some of the charges, others were denied without a clear explanation. This is especially troubling since the denied and approved transactions all followed the same pattern and involved the same names. 

Here are the outcomes of the claims I filed : XX/XX/XXXX XXXX {$510.00} ( XXXX ) - Denied {$310.00} ( XXXX ) - Denied {$150.00} ( XXXX ) - Denied XX/XX/XXXX XXXX  {$13.00} ( XXXX ) - Denied {$33.00} ( XXXX ) - Denied XX/XX/XXXX XXXX {$310.00} ( XXXX ) - Approved {$310.00} ( XXXX ) - Approved {$310.00} ( XXXX ) - Approved XX/XX/XXXX XXXX {$310.00} ( XXXX ) - Approved {$310.00} ( XXXX ) - Approved {$310.00} ( XXXX ) - Approved I am requesting that Chase re-review the denied claims. The repeated use of similar names, the pattern of high-dollar transactions, and the fact that Chase approved similar charges on later dates all suggest that these were connected as part of the same fraud. Chase failed to alert me in a timely manner and did not prevent multiple unauthorized transactions, even after some were unsuccessful transactions. 

I trusted Chase to protect my finances and personal information. In response to this, they approved, as outlined above, XX/XX/XXXX requests for a refund and opened a new account for me. Their handling of this matter has caused me financial harm and a loss of confidence in their services and I fear it will happen again. I ask that the Consumer Financial Protection Bureau assist in ensuring a fair and complete resolution, including reimbursement for the remaining unauthorized charges.",NY,2025-06-08
10522069,Checking or savings account,Managing an account,"I bought an XXXX skincare product through XXXX on XX/XX/year>, but later discovered it was a scam. After reaching out to the seller, XXXX XXXX, and the company for assistance, I didn't receive any responses. I also filed a claim with Chase, but they closed it on the same day, stating they don't handle scam-related issues. 

I transferred money 4 times by XXXX on Chase banking app - XX/XX/XXXX : {$350.00} - XX/XX/XXXX : {$90.00} - XX/XX/XXXX : {$1000.00} - XX/XX/XXXX : XXXX",CA,2024-10-21
